cnpj_raiz;razao_social_ibama;uf;ultimo_rapp;escopo;detalhe_declarado
01152141;"TERMOGEL IND E COM DE PRODUTOS DE ESTETICA LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
02950415;"TERRA VIVA - COSMETICOS NATURAIS LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
61517397;"THERASKIN FARMACÊUTICA LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
18671540;"THESEO SAÚDE ANIMAL LTDA";SAO PAULO;2023;fora;"Fabricação de produtos farmacêuticos e veterinários"
23373298;"THREE LIFE LAB INDUSTRIA DE ALIMENTOS, COSMETICOS E SERVICOS LTDA";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos"
74678608;"THROUGH INDUSTRIA DE COSMETICOS LTDA EPP";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
73386963;"TOHO LABORATÓRIO IND. DE COSMÉTICOS E ALIMENTOS NUTRICIONAIS";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
02757966;"TOPS COSMÉTICOS EIRELI";MINAS GERAIS;2023;fora;"Fabricação de perfumarias e cosméticos"
05765886;"TOTAL PERFORMANCE INDUSTRIA DE COSMETICOS LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
04556017;"TOVER INDÚSTRIA E COMÉRCIO LTDA - ME";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
61455192;"TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
20961109;"TRENDY PRIME IND. E COM. DE COSMETICOS LTDA";MINAS GERAIS;2025;fora;"Fabricação de perfumarias e cosméticos"
03011083;"TREZZO INDÚSTRIA E COMÉRCIO DE COSMÉTICOS LTDA";MINAS GERAIS;2025;fora;"Fabricação de perfumarias e cosméticos"
03967708;"TRI HAIR INDÚSTRIA DE COSMÉTICOS LTDA - EPP";BAHIA;2024;fora;"Fabricação de perfumarias e cosméticos"
03436772;"TRILHA INDUSTRIA E COMERCIO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
41876717;"TWD INDUSTRIA E COMERCIO DE COSMETICOS LTDA";PARANA;2024;fora;"Fabricação de perfumarias e cosméticos"
